@id,@severity
unusedStructMember,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
pointerSize,warning
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
knownConditionTrueFalse,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
duplicateCondition,style
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
pointerSize,warning
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
knownConditionTrueFalse,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
identicalInnerCondition,warning
identicalInnerCondition,warning
identicalConditionAfterEarlyExit,warning
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
duplicateExpression,style
duplicateExpression,style
knownConditionTrueFalse,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
syntaxError,error
syntaxError,error
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
identicalInnerCondition,warning
identicalInnerCondition,warning
identicalConditionAfterEarlyExit,warning
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
duplicateExpression,style
duplicateExpression,style
knownConditionTrueFalse,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
syntaxError,error
syntaxError,error
invalidscanf,warning
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
pointerSize,warning
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
knownConditionTrueFalse,style
duplicateExpression,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
duplicateCondition,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
pointerSize,warning
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
duplicateCondition,style
nullPointerRedundantCheck,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
internalAstError,error
syntaxError,error
knownConditionTrueFalse,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
nullPointer,warning
nullPointer,warning
nullPointer,warning
nullPointer,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
uninitStructMember,error
uninitStructMember,error
uninitStructMember,error
uninitStructMember,error
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
identicalInnerCondition,warning
identicalInnerCondition,warning
identicalConditionAfterEarlyExit,warning
duplicateCondition,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
invalidscanf,warning
nullPointerRedundantCheck,warning
duplicateExpression,style
duplicateExpression,style
knownConditionTrueFalse,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
identicalInnerCondition,warning
identicalInnerCondition,warning
identicalConditionAfterEarlyExit,warning
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
invalidscanf,warning
duplicateExpression,style
duplicateExpression,style
knownConditionTrueFalse,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
syntaxError,error
syntaxError,error
syntaxError,error
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
nullPointer,error
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
pointerSize,warning
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
nullPointer,warning
nullPointer,warning
nullPointer,warning
nullPointer,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
duplicateCondition,style
nullPointerRedundantCheck,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
duplicateCondition,style
knownConditionTrueFalse,style
nullPointerRedundantCheck,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
identicalInnerCondition,warning
identicalInnerCondition,warning
identicalConditionAfterEarlyExit,warning
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
duplicateExpression,style
duplicateExpression,style
knownConditionTrueFalse,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
identicalInnerCondition,warning
identicalInnerCondition,warning
identicalConditionAfterEarlyExit,warning
duplicateCondition,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
nullPointerRedundantCheck,warning
duplicateExpression,style
duplicateExpression,style
knownConditionTrueFalse,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
identicalInnerCondition,warning
identicalInnerCondition,warning
identicalConditionAfterEarlyExit,warning
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
duplicateExpression,style
duplicateExpression,style
duplicateExpression,style
knownConditionTrueFalse,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
syntaxError,error
syntaxError,error
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
uninitStructMember,error
uninitStructMember,error
uninitStructMember,error
uninitStructMember,error
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
duplicateBreak,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
uninitStructMember,error
uninitStructMember,error
uninitStructMember,error
uninitStructMember,error
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unreadVariable,style
duplicateCondition,style
knownConditionTrueFalse,style
invalidscanf,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
duplicateCondition,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
syntaxError,error
duplicateCondition,style
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
pointerSize,warning
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
duplicateCondition,style
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
nullPointer,warning
nullPointer,warning
nullPointer,warning
nullPointer,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
invalidscanf,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
duplicateCondition,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unreadVariable,style
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
va_list_usedBeforeStarted,error
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
knownConditionTrueFalse,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unusedStructMember,style
unreadVariable,style
unreadVariable,style
nullPointerRedundantCheck,warning
nullPointerRedundantCheck,warning
nullPointer,warning
nullPointer,warning
nullPointer,warning
nullPointer,warning
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
uninitStructMember,error
uninitStructMember,error
uninitStructMember,error
uninitStructMember,error
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
syntaxError,error
syntaxError,error
syntaxError,error
identicalInnerCondition,warning
identicalInnerCondition,warning
identicalConditionAfterEarlyExit,warning
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
knownConditionTrueFalse,style
duplicateExpression,style
duplicateExpression,style
knownConditionTrueFalse,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
variableScope,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
unreadVariable,style
syntaxError,error
syntaxError,error
syntaxError,error
variableScope,style
variableScope,style
